data_level_1,data_level_2,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020
Food at home,Cereals and bakery products,272.922,271.708,272.174,271.865,272.445,272.429,271.95,272.544,271.75,270.858,269.646,269.847,272.273,271.245,272.345,271.766,271.91,273.682,273.258,273.338,273.729,272.26,273.24,274.321,275.05,275.996,277.275,276.64,277.795,276.891,277.49,276.619,276.166,275.036,276.166,275.036,275.916,276.641,277.646,285.16,284.937,286.092
Food at home,"Meats, poultry, fish, and eggs",242.596,243.057,244.306,243.33,243.815,245.756,247.761,247.985,247.613,248.413,247.027,248.42,247.284,247.095,249.516,251.922,249.449,248.609,250.042,250.743,248.876,247.966,247.954,247.327,248.169,248.597,249.062,249.203,250.356,249.231,250.033,249.277,250.491,252.893,250.491,252.893,252.905,253.396,254.724,266.263,275.405,281.139
Food at home,Dairy and related products,219.804,220.552,218.567,217.827,217.015,215.192,216.434,216.537,216.564,217.17,216.878,216.916,217.897,216.412,216.497,216.906,215.659,216.126,215.622,216.435,216.638,216.8,215.896,216.652,217.079,216.595,217.531,217.51,217.841,217.433,217.626,218.758,221.515,221.924,221.515,221.924,223.035,224.443,225.627,228.755,230.166,228.437
Food at home,Fruits and vegetables,291.679,292.222,292.932,298.164,298.47,294.788,294.935,295.009,297.047,299.7,296.791,296.476,301.814,298.503,293.87,296.863,297.211,295.523,297.632,297.644,298.432,298.531,296.362,301.134,304.605,304.621,305.399,303.503,302.352,298.611,299.35,298.6,297.472,297.105,297.472,297.105,301.679,299.817,299.641,304.809,306.798,305.393
Food at home,Nonalcoholic beverages and beverage materials,167.074,169.451,168.455,168.354,168.555,167.242,167.085,166.822,167.429,167.99,166.271,166.006,167.671,167.736,167.758,167.041,166.401,166.431,166.577,167.231,168.428,169.57,167.891,168.339,171.354,172.488,172.06,170.727,171.26,170.23,169.685,170.067,170.675,170.006,170.675,170.006,172.313,173.194,174.454,179.235,178.234,179.19
Food at home,Other food at home,208.804,208.914,210.002,210.668,210.63,210.119,210.624,209.905,210.159,209.528,209.624,209.401,209.611,210.115,210.012,210.632,210.159,210.259,210.736,210.158,210.59,210.224,210.407,209.739,210.006,211.168,211.55,211.078,210.815,212.056,210.941,210.841,211.25,210.432,211.25,210.432,210.763,213.215,214.565,219.233,218.988,219.311
Food away from home,Food away from home,266.079,266.626,267.055,267.652,268.128,268.225,268.649,269.522,270.353,270.658,271.152,271.811,272.772,273.435,273.733,274.393,275.307,275.808,276.125,276.648,277.258,277.513,278.306,279.419,280.38,281.373,281.887,282.798,283.394,284.316,284.891,285.507,287.255,288.078,287.255,288.078,289.137,289.781,290.216,290.639,291.709,293.219
Energy commodities,Fuel oil,243.347,242.467,240.619,239.822,233.216,224.542,220.152,226.59,245.085,250.64,263.132,270.955,298.173,292.718,288.737,293.991,292.165,293.685,296.602,296.617,302.419,316.185,305.37,276.103,274.051,285.668,287.496,291.424,289.711,277.244,278.773,271.766,284.797,288.766,284.797,288.766,291.872,268.835,229.794,194.716,180.999,194.267
Energy commodities,Motor fuel,207.28,202.912,205.155,213.288,210.313,206.76,202.051,209.881,232.076,219.64,225.322,217.972,225.03,228.666,228.068,242.056,256.175,257.041,253.424,252.546,253.432,255.126,236.934,213.838,202.818,208.242,226.616,249.55,255.584,243.163,245.042,234.746,233.851,230.189,233.851,230.189,228.343,219.677,203.512,170.378,169.882,186.494
Energy services,Electricity,205.23,206.416,205.692,206.671,210.541,218.865,219.696,219.078,218.117,210.424,208.111,208.406,210.171,210.97,210.273,209.215,212.646,218.591,217.9,217.967,215.536,211.937,209.339,210.637,210.92,210.939,210.937,210.525,212.326,217.947,219.083,217.811,210.365,209.725,210.365,209.725,212.018,212.18,211.332,211.04,211.988,218.191
Energy services,Utility (piped) gas service,172.319,172.967,170.755,172.597,174.901,175.807,174.301,173.646,172.111,172.373,173.504,175.909,172.658,179.557,176.567,174.318,173.42,172.167,172.062,173.867,170.1,168.77,169.821,179.999,180.106,174.95,174.089,171.004,168.826,168.628,167.074,167.803,171.629,173.652,171.629,173.652,174.272,171.469,168.994,167.751,168.316,168.267
Commodities less food and energy commodities,Apparel,123.088,126.1,128.25,128.349,126.563,124.63,122.485,124.147,128.15,129.57,125.398,120.614,122.266,126.587,128.604,129.365,128.362,125.382,122.831,122.447,127.44,129.108,124.935,120.526,122.422,125.631,125.785,125.542,124.429,123.749,122.161,123.641,122.986,119.111,122.986,119.111,120.853,124.438,123.815,118.394,114.582,114.734
Commodities less food and energy commodities,New vehicles,148.848,148.993,148.543,148.457,148.033,147.262,146.19,145.712,145.037,144.868,145.442,146.522,146.996,146.807,146.727,146.069,146.349,146.562,146.526,146.149,145.715,145.588,145.826,146.126,147.059,147.226,147.788,147.84,147.659,147.417,147.035,146.456,145.728,146.22,145.728,146.22,147.253,147.803,147.124,147.007,147.222,147.108
Commodities less food and energy commodities,Used cars and trucks,137.397,137.899,139.372,140.654,140.875,140.015,139.519,139.35,137.141,135.867,134.901,136.118,136.555,137.768,139.892,139.368,138.506,139.09,140.687,141.095,135.13,136.45,138.01,138.069,138.8,139.301,140.513,140.458,138.888,140.823,142.756,144.026,137.407,137.125,137.407,137.125,136.064,137.452,140.689,139.411,138.383,136.915
Commodities less food and energy commodities,Medical care commodities,374.15,376.078,376.44,373.231,373.631,376.182,380.302,381.114,377.869,377.038,378.328,380.087,380.846,381.975,381.804,380.479,383.734,385.121,381.954,382.171,380.535,379.662,380.658,378.19,379.777,377.949,379.568,381.256,381.066,379.462,380.278,382.519,383.025,387.533,383.025,387.533,386.331,384.701,384.498,383.911,384.304,384.259
Commodities less food and energy commodities,Alcoholic beverages,244.516,244.622,244.978,245.5,244.785,244.597,244.706,245.042,245.884,246.621,246.991,246.791,247.359,248.166,248.287,248.818,248.126,248.844,248.469,248.407,249.921,250.757,251.326,251.131,251.688,252.599,252.087,251.758,252.101,252.538,253.129,253.314,252.463,252.361,252.463,252.361,253.592,254.831,255.66,256.423,257.713,258.033
Commodities less food and energy commodities,Tobacco and smoking products,984.721,984.756,987.91,1025.961,1026.125,1028.777,1030.729,1029.619,1031.891,1047.932,1048.219,1046.785,1050.073,1049.343,1046.45,1056.874,1059.665,1060.067,1062.895,1064.098,1065.017,1081.193,1083.514,1082.248,1085.997,1088.195,1103.24,1105.201,1108.299,1109.099,1120.066,1124.082,1142.857,1141.6,1142.857,1141.6,1144.642,1148.752,1162.66,1159.847,1156.179,1165.761
Shelter,Rent of primary residence,303.467,304.211,304.868,305.477,306.379,307.314,308.173,309.479,310.268,311.501,312.67,313.904,314.788,315.277,315.883,316.763,317.49,318.318,319.351,320.651,321.533,322.628,323.968,324.815,325.597,326.351,327.513,328.678,329.333,330.648,331.605,332.638,335.819,336.789,335.819,336.789,337.825,338.616,339.519,340.135,340.811,341.294
Shelter,Owners' equivalent rent of residences,301.181,301.785,302.259,302.767,303.312,304.218,305.037,306.201,307.106,308.19,309.101,310.041,310.828,311.28,312.107,312.935,313.656,314.472,315.391,316.401,317.149,318.215,319.338,320.038,320.789,321.627,322.482,323.426,324.143,325.189,326.023,326.977,329.745,330.527,329.745,330.527,331.522,332.177,332.864,333.358,334.052,334.424
Medical care services,Physicians' services,384.882,385.353,383.965,379.886,379.207,377.747,377.989,378.99,379.169,379.072,377.037,377.734,379.077,380.47,380.766,381.076,381.309,380.991,380.404,380.143,380.928,380.489,379.872,379.885,382.032,383.009,381.045,382.15,382.436,382.702,383.047,382.858,385.01,385.092,385.01,385.092,384.715,386.202,386.483,386.862,389.329,390.718
Medical care services,Hospital services,309.929,313.974,314.529,317.053,316.653,318.313,319.387,319.394,320.449,322.368,322.871,323.114,328.635,329.701,330.759,331.289,331.651,333.408,334.033,332.708,332.595,332.853,334.242,334.964,336.225,336.234,336.648,335.198,335.966,335.078,336.604,339.781,345.227,344.933,345.227,344.933,349.152,350.635,351.35,352.676,352.287,352.794
Transportation services,Motor vehicle maintenance and repair,279.523,279.782,279.6,280.17,280.388,279.294,279.605,280.488,282.203,283.257,282.502,283.107,283.305,284.032,283.656,284.367,284.851,285.753,286.067,286.931,288.457,289.057,290.114,289.705,290.758,291.993,294.226,295.266,294.586,295.67,295.377,297.884,299.26,299.614,299.26,299.614,300.112,302.22,304.131,304.376,305.574,305.736
Transportation services,Motor vehicle insurance,510.919,513.469,517.619,516.203,521.149,525.397,526.394,530.908,532.455,537.222,543.613,547.586,554.166,563.365,563.762,562.749,564.445,565.284,565.547,565.113,567.838,573.05,573.338,572.824,572.95,574.447,573.087,570.492,568.301,569.079,569.011,568.972,571.987,572.979,571.987,572.979,572.693,576.45,579.462,534.842,486.761,511.639
Transportation services,Airline fares,269.241,280.517,283.583,294.034,300.609,296.384,276.308,259.359,259.143,267.297,267.97,254.947,255.496,265.272,267.482,273.817,280.804,278.937,264.994,255.877,258.196,265.93,263.809,248.29,248.433,259.049,259.698,268.767,283.275,283.001,268.314,259.849,268.994,252.411,268.994,252.411,255.2,265.142,232.113,203.342,201.649,206.066
